latitude,longitude,result
51.575351,7.057754,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.575225,7.057772,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.575094,7.057796,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.574960,7.057779,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.574816,7.057736,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.574675,7.057697,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.574564,7.057644,route 380 from Gelsenkirchen Buer Rathaus to Gelsenkirchen Hauptbahnhof/ZOB
51.574452,7.057593,route 380 from Gelsenkirchen Buer Rathaus to Gelsenkirchen Hauptbahnhof/ZOB
51.574350,7.057532,route 380 from Gelsenkirchen Buer Rathaus to Gelsenkirchen Hauptbahnhof/ZOB
51.574254,7.057487,route 380 from Gelsenkirchen Buer Rathaus to Gelsenkirchen Hauptbahnhof/ZOB
51.574163,7.057447,route 380 from Gelsenkirchen Buer Rathaus to Gelsenkirchen Hauptbahnhof/ZOB
51.573998,7.057401,route 380 from Gelsenkirchen Buer Rathaus to Gelsenkirchen Hauptbahnhof/ZOB
51.573870,7.057355,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.573780,7.057328,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.573675,7.057271,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.573500,7.057177,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.573381,7.057113,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.573225,7.057026,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.573133,7.056977,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.573034,7.056923,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.572926,7.056865,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.572812,7.056805,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.572693,7.056740,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.572575,7.056674,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.572457,7.056618,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.572328,7.056568,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.572200,7.056532,route 380 from Gelsenkirchen Buer Rathaus to Gelsenkirchen Hauptbahnhof/ZOB
51.572070,7.056506,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.571940,7.056495,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.571814,7.056485,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.571692,7.056469,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.571579,7.056466,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
